datetime,open,high,low,close,volume
2025-03-14 00:00:00+00:00,81115.7800000000,85309.7100000000,80818.8400000000,83983.2000000000,26858.5275500000
2025-03-15 00:00:00+00:00,83983.1900000000,84676.2800000000,83618.0000000000,84338.4400000000,11324.7332000000
2025-03-16 00:00:00+00:00,84338.4400000000,85117.0400000000,81981.1200000000,82574.5300000000,17596.1253100000
2025-03-17 00:00:00+00:00,82574.5200000000,84756.8300000000,82456.0000000000,84010.0300000000,17214.7435800000
2025-03-18 00:00:00+00:00,84010.0200000000,84021.7400000000,81134.6600000000,82715.0300000000,17610.8988300000
2025-03-19 00:00:00+00:00,82715.0300000000,87000.0000000000,82547.1600000000,86845.9400000000,28151.0537400000
2025-03-20 00:00:00+00:00,86845.9300000000,87453.6700000000,83655.2300000000,84223.3900000000,22090.3046300000
2025-03-21 00:00:00+00:00,84223.3800000000,84850.3300000000,83175.2500000000,84088.7900000000,11956.9744300000
2025-03-22 00:00:00+00:00,84088.7900000000,84539.1700000000,83625.1000000000,83840.5900000000,5420.2211400000
2025-03-23 00:00:00+00:00,83840.5900000000,86129.6400000000,83809.7500000000,86082.5000000000,8461.9781300000
2025-03-24 00:00:00+00:00,86082.5000000000,88765.4300000000,85519.0900000000,87498.1600000000,30115.6211100000
2025-03-25 00:00:00+00:00,87498.1600000000,88539.6300000000,86310.0000000000,87392.8700000000,22643.2524800000
2025-03-26 00:00:00+00:00,87392.8800000000,88275.0000000000,85860.0000000000,86909.1700000000,18408.7848500000
2025-03-27 00:00:00+00:00,86909.1700000000,87756.3900000000,85800.0000000000,87232.0100000000,17098.0389700000
2025-03-28 00:00:00+00:00,87232.0100000000,87515.6700000000,83585.0000000000,84424.3800000000,27182.7316900000
2025-03-29 00:00:00+00:00,84424.3800000000,84624.7300000000,81644.8100000000,82648.5400000000,11696.3986400000
2025-03-30 00:00:00+00:00,82648.5300000000,83534.6400000000,81565.0000000000,82389.9900000000,9864.4950800000
2025-03-31 00:00:00+00:00,82390.0000000000,83943.0800000000,81278.5200000000,82550.0100000000,20569.1388500000
2025-04-01 00:00:00+00:00,82550.0000000000,85579.4600000000,82432.7400000000,85158.3400000000,20190.3969700000
2025-04-02 00:00:00+00:00,85158.3500000000,88500.0000000000,82320.0000000000,82516.2900000000,39931.4570000000
2025-04-03 00:00:00+00:00,82516.2800000000,83998.0200000000,81211.2400000000,83213.0900000000,27337.8413500000
2025-04-04 00:00:00+00:00,83213.0900000000,84720.0000000000,81659.0000000000,83889.8700000000,32915.5397600000
2025-04-05 00:00:00+00:00,83889.8700000000,84266.0000000000,82379.9500000000,83537.9900000000,9360.4046800000
2025-04-06 00:00:00+00:00,83537.9900000000,83817.6300000000,77153.8300000000,78430.0000000000,27942.7143600000
2025-04-07 00:00:00+00:00,78430.0000000000,81243.5800000000,74508.0000000000,79163.2400000000,78387.5308900000
2025-04-08 00:00:00+00:00,79163.2400000000,80867.9900000000,76239.9000000000,76322.4200000000,35317.3206300000
2025-04-09 00:00:00+00:00,76322.4200000000,83588.0000000000,74620.0000000000,82615.2200000000,75488.2877200000
2025-04-10 00:00:00+00:00,82615.2200000000,82753.2100000000,78464.3600000000,79607.3000000000,33284.8071800000
2025-04-11 00:00:00+00:00,79607.3000000000,84300.0000000000,78969.5800000000,83423.8400000000,34435.4379700000
2025-04-12 00:00:00+00:00,83423.8300000000,85905.0000000000,82792.9500000000,85276.9000000000,18470.7443700000
2025-04-13 00:00:00+00:00,85276.9100000000,86100.0000000000,83034.2300000000,83760.0000000000,24680.0418100000
2025-04-14 00:00:00+00:00,83760.0000000000,85799.9900000000,83678.0000000000,84591.5800000000,28659.0934800000
2025-04-15 00:00:00+00:00,84591.5800000000,86496.4200000000,83600.0000000000,83643.9900000000,20910.9952800000
2025-04-16 00:00:00+00:00,83643.9900000000,85500.0000000000,83111.6400000000,84030.3800000000,20867.2451900000
2025-04-17 00:00:00+00:00,84030.3800000000,85470.0100000000,83736.2600000000,84947.9100000000,13728.8477200000
2025-04-18 00:00:00+00:00,84947.9200000000,85132.0800000000,84303.9600000000,84474.6900000000,6529.9631500000
2025-04-19 00:00:00+00:00,84474.7000000000,85677.9900000000,84364.4500000000,85077.0100000000,9666.5815300000
2025-04-20 00:00:00+00:00,85077.0000000000,85320.7600000000,83949.5200000000,85179.2400000000,8091.6772500000
2025-04-21 00:00:00+00:00,85179.2400000000,88465.9900000000,85144.7600000000,87516.2300000000,31773.3726200000
2025-04-22 00:00:00+00:00,87516.2200000000,93888.0000000000,87076.0300000000,93442.9900000000,43872.7470500000
2025-04-23 00:00:00+00:00,93442.9900000000,94696.0500000000,91935.4100000000,93691.0800000000,27404.1680800000
2025-04-24 00:00:00+00:00,93691.0700000000,94005.0000000000,91660.0100000000,93980.4700000000,19497.0607100000
2025-04-25 00:00:00+00:00,93980.4700000000,95758.0400000000,92855.9600000000,94638.6800000000,27500.6664800000
2025-04-26 00:00:00+00:00,94638.6800000000,95199.0000000000,93870.6900000000,94628.0000000000,9415.0687500000
2025-04-27 00:00:00+00:00,94628.0000000000,95369.0000000000,93602.5800000000,93749.3000000000,11162.8410000000
2025-04-28 00:00:00+00:00,93749.2900000000,95630.0000000000,92800.0100000000,95011.1800000000,22157.5335100000
2025-04-29 00:00:00+00:00,95011.1800000000,95461.5300000000,93742.5400000000,94256.8200000000,16955.3402000000
